Title,Latitude,Longitude,Power (kW),Connector Type,State,Address,Charger ID,Operator,Google Maps Navigation Link
Bolt.Earth Station (695015) - L1DC0036,8.552551,76.942884,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"695015,Kerala",L1DC0036,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=8.552551,76.942884"
EngineerMode Private Limited,8.552623,76.942915,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"EngineerMode Private Limited, SmartSolar 2Nd floor",L1DC0035,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=8.552623,76.942915"
N/16390,8.55264,76.943021,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"N/16390, SH1, Aradhana Nagar",L1DC0144,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=8.55264,76.943021"
Shastri Nagar,8.49211,76.974163,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"Shastri Nagar, Poojapura",L1DC0276,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=8.49211,76.974163"
Door No 46/2406,8.481265,76.964156,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"Door No 46/2406, Ravel Building, Karamana - Poojapura Rd, Prem Nagar, Karamana, Thiruvananthapuram, Kerala 695002",L1DC0428,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=8.481265,76.964156"
Door No 46/2406,8.481034,76.964101,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"Door No 46/2406, Ravel Building, Karamana - Poojapura Rd, Prem Nagar, Karamana, Thiruvananthapuram, Kerala 695002",L1DC0430,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=8.481034,76.964101"
Tc:2305/1,8.542146,76.875755,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"Tc:2305/1,kulathoor,trivandrum 695583",L1DC0595,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=8.542146,76.875755"
Athira bhavan pvra47,8.556885,76.876021,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"Athira bhavan pvra47, opp technopark phase I, kazhakootam, trivandrum Kerala 695582",L1DC0589,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=8.556885,76.876021"
PVMX+Q5H,8.734444,76.898022,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"PVMX+Q5H, Karette, Kerala 695612",L1DC0027,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=8.734444,76.898022"
Akshaya  EV Charging Station,8.838668,76.687017,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"Akshaya  EV Charging Station, Akshaya Centre,MLA jn Nedungolam PO Paravoor Chathannoor  Road, Kollam, Pin: 691334",L1DC0037,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=8.838668,76.687017"
Thiruvonam. Veppalinmoodu.,8.802395,76.698483,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,Thiruvonam. Veppalinmoodu.,L1DC0439,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=8.802395,76.698483"
Bolt.Earth Station (695141) - L1DC0123,8.727772,76.710729,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"695141,Kerala",L1DC0123,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=8.727772,76.710729"
TB Junction-Hospital Junction Road,8.40805,77.081235,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"TB Junction-Hospital Junction Road, Vazhuthoor",L1DC0772,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=8.40805,77.081235"
25/66,8.394397,77.088783,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"25/66, Poovar - Neyyatinkara Road, Alummoodu",L1DC0191,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=8.394397,77.088783"
BSR Fast Charging Center,8.375908,77.081732,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"BSR Fast Charging Center, Olathanni Neyyattinkara 695121",L1DC0581,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=8.375908,77.081732"
Santhy sabarimuttam kamukincode kodangavila PO with Pincode 695123 kamukincode opp:canara bank,8.393112,77.061835,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,Santhy sabarimuttam kamukincode kodangavila PO with Pincode 695123 kamukincode opp:canara bank,L1DC0091,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=8.393112,77.061835"
Bolt.Earth Station (695528) - L1DC0064,8.442731,77.045446,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,"695528,Kerala",L1DC0064,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=8.442731,77.045446"
Neyyattinkara Kattakkada Road,8.462869,77.069309,3.3 kW,Type-6 DC Fast / Type-7 AC Dual,Kerala,Neyyattinkara Kattakkada Road,L1DC0769,Bolt.Earth,"https://www.google.com/maps/dir/?api=1&destination=8.462869,77.069309"
